,sma_pfast,sma_pslow,Returns,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin,AvergaeLoss,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
0,5,10,OrderedDict(),43.812494226667816,131,38,93,0.2900763358778626,18.63789800125064,-11.37197289565435,2,14,1.6389326788118592,12.0,1.0,11.0,8.0
1,5,11,OrderedDict(),39.35495852276461,125,38,87,0.304,17.211053324069056,-11.227060412401249,3,13,1.5329973022197307,9.0,3.0,6.0,6.0
2,5,12,OrderedDict(),35.03426061048234,111,34,77,0.3063063063063063,19.24779989263991,-11.803803164049935,3,10,1.6306439225674032,2.0,5.0,10.0,5.666666666666667
3,5,13,OrderedDict(),37.77048657500279,103,34,69,0.3300970873786408,20.24746205472317,-13.904941083156919,3,11,1.4561343290586797,5.0,10.0,4.0,6.333333333333333
4,5,14,OrderedDict(),39.127927738140414,99,29,70,0.2929292929292929,23.581182767568148,-14.095165147877273,2,10,1.6729979762684422,8.0,2.0,12.0,7.333333333333333
5,5,15,OrderedDict(),38.837728270662495,87,27,60,0.3103448275862069,24.556983380663404,-15.79753296884658,2,6,1.5544821732032994,7.0,7.0,7.0,7.0
6,6,10,OrderedDict(),43.576133127797746,131,40,91,0.3053435114503817,18.271788854616908,-11.7317376513378,2,10,1.5574665405625852,11.0,4.0,8.0,7.666666666666667
7,6,11,OrderedDict(),37.96176833335859,124,39,85,0.3145161290322581,17.99309280164014,-11.355874750019796,2,10,1.5844743974134419,6.0,8.0,9.0,7.666666666666667
8,6,12,OrderedDict(),34.41445075470731,108,37,71,0.3425925925925926,18.717697271218377,-13.239620252750655,3,9,1.4137639081702211,1.0,12.0,1.0,4.666666666666667
9,6,13,OrderedDict(),36.37706323431434,98,33,65,0.33673469387755106,21.389649074560467,-15.030181265915413,2,11,1.423113181147502,3.0,11.0,2.0,5.333333333333333
10,6,14,OrderedDict(),41.80206898657973,97,30,67,0.30927835051546393,21.39320314838534,-14.6993410819494,4,12,1.4553851787721233,10.0,6.0,3.0,6.333333333333333
11,6,15,OrderedDict(),37.562315516292635,90,29,61,0.32222222222222224,24.25501114963852,-16.408171158844677,3,9,1.4782275803214109,4.0,9.0,5.0,6.0
